"Regression","E","sigma"
"Naive","82.03 ± 6.00","89.53 ± 12.30"
"x1","72.15 ± 4.32","71.45 ± 8.54"
"x2","74.20 ± 4.12","72.22 ± 8.27"
"x3","65.28 ± 3.77","63.75 ± 7.48"
"x4","82.31 ± 4.31","81.25 ± 8.66"
"x5","69.85 ± 3.73","67.59 ± 7.25"
"x6","43.50 ± 4.35","44.30 ± 9.29"
"x7","73.26 ± 3.83","71.03 ± 7.53"
"x8","80.05 ± 4.53","77.61 ± 9.00"
"x9","72.69 ± 4.61","71.30 ± 9.20"
"x10","66.64 ± 4.22","64.70 ± 8.38"
"x11","62.96 ± 4.27","62.41 ± 8.58"
"x12","75.28 ± 4.30","74.74 ± 8.49"
"x13","38.70 ± 2.03","38.32 ± 4.03"
"x","22.03 ± 1.57","23.13 ± 3.53"
"KRR","8.13 ± 0.76","12.90 ± 2.16"
